eval/mean_ep_length,rollout/ep_len_mean,locals/num_collected_episodes,_timestamp,rollout/ep_rew_mean,train/loss,eval/mean_reward,time/fps,rollout/exploration_rate,_step,global_step,locals/num_collected_steps,train/learning_rate,train/n_updates,trajectory/video,locals/infos_0_lives,_runtime,locals/rewards,time/_episode_num,run
,,,1780165569.451022,,,,,,0,1756.0,,,,,0.0,0.577534736,,,DDQN (baseline)
,439.0,,1780165569.4526012,,,,,,4,1756.0,,,,,,0.577534736,,,DDQN (baseline)
,,,1780165569.4526777,,,,,,9,1756.0,,,0.0,,,0.577534736,,,DDQN (baseline)
,,0.0,1780165571.2208138,,,,,,11,3278.0,,,,,,0.577534736,,,DDQN (baseline)
,,,1780165571.2220109,,,,,0.998188,16,3278.0,,,,,,0.577534736,,,DDQN (baseline)
,,,1780165571.2220411,,,,793.0,,18,3278.0,,,,,,0.577534736,,,DDQN (baseline)
,,,1780165571.2220569,,,,,,19,3278.0,,,0.0,,,0.577534736,,,DDQN (baseline)
,,0.0,1780165572.9591465,,,,,,21,4778.0,,,,,,0.577534736,,,DDQN (baseline)
,413.5,,1780165575.0817046,,,,,,34,6616.0,,,,,,0.577534736,,,DDQN (baseline)
,,,1780165575.0817237,13.9375,,,,,35,6616.0,,,,,,0.577534736,,,DDQN (baseline)
,412.0,,1780165577.0125234,,,,,,44,8240.0,,,,,,0.577534736,,,DDQN (baseline)
,,,1780165577.0125709,,,,,0.99544513,46,8240.0,,,,,,0.577534736,,,DDQN (baseline)
,,,1780165577.0126016,,,,830.0,,48,8240.0,,,,,,0.577534736,,,DDQN (baseline)
,,,1780165579.0832272,,,,,,50,10032.0,,,,,0.0,0.577534736,,,DDQN (baseline)
,,0.0,1780165579.0832775,,,,,,51,10032.0,,,,,,0.577534736,,,DDQN (baseline)
,,,1780165579.0842474,,,,,,53,10032.0,,,,,,0.577534736,"{'_type': 'histogram', 'values': [1], 'bins': [0, 1e-12]}",,DDQN (baseline)
,,,1780165579.0845022,,,,,0.99445456,56,10032.0,,,,,,0.577534736,,,DDQN (baseline)
,,,1780165579.084532,,,,836.0,,58,10032.0,,,,,,0.577534736,,,DDQN (baseline)
,,,1780165581.1588814,,,,,,62,11838.0,2.0,,,,,0.577534736,,,DDQN (baseline)
,,,1780165581.159896,,,,,0.99345624,66,11838.0,,,,,,0.577534736,,,DDQN (baseline)
,,0.0,1780165583.1141534,,,,,,71,13530.0,,,,,,0.577534736,,,DDQN (baseline)
,422.8125,,1780165583.115197,,,,,,74,13530.0,,,,,,0.577534736,,,DDQN (baseline)
,,,1780165583.1152291,,,,,0.9925209,76,13530.0,,,,,,0.577534736,,,DDQN (baseline)
