_step,eval/mean_reward,train/n_updates,train/learning_rate,locals/rewards,_timestamp,rollout/ep_len_mean,locals/infos_0_lives,locals/num_collected_steps,global_step,eval/mean_ep_length,train/loss,time/_episode_num,rollout/ep_rew_mean,locals/num_collected_episodes,_runtime,trajectory/video,rollout/exploration_rate,time/fps,run
0,,,,,1780166662.0149975,,0.0,,1756.0,,,,,,0.593633398,,,,Dueling DDQN
4,,,,,1780166662.0166855,439.0,,,1756.0,,,,,,0.593633398,,,,Dueling DDQN
5,,,,,1780166662.0167058,,,,1756.0,,,,12.0,,0.593633398,,,,Dueling DDQN
7,,,,,1780166662.0167356,,,,1756.0,,,3.0,,,0.593633398,,,,Dueling DDQN
9,,0.0,,,1780166662.0167632,,,,1756.0,,,,,,0.593633398,,,,Dueling DDQN
11,,,,,1780166663.8035655,,,,3278.0,,,,,0.0,0.593633398,,,,Dueling DDQN
16,,,,,1780166663.8050754,,,,3278.0,,,,,,0.593633398,,0.998188,,Dueling DDQN
18,,,,,1780166663.8051143,,,,3278.0,,,,,,0.593633398,,,793.0,Dueling DDQN
19,,0.0,,,1780166663.8051283,,,,3278.0,,,,,,0.593633398,,,,Dueling DDQN
21,,,,,1780166665.5630925,,,,4778.0,,,,,0.0,0.593633398,,,,Dueling DDQN
34,,,,,1780166667.6867263,413.5,,,6616.0,,,,,,0.593633398,,,,Dueling DDQN
35,,,,,1780166667.6867547,,,,6616.0,,,,13.9375,,0.593633398,,,,Dueling DDQN
44,,,,,1780166669.5779586,412.0,,,8240.0,,,,,,0.593633398,,,,Dueling DDQN
46,,,,,1780166669.5780058,,,,8240.0,,,,,,0.593633398,,0.99544513,,Dueling DDQN
48,,,,,1780166669.5780532,,,,8240.0,,,,,,0.593633398,,,831.0,Dueling DDQN
50,,,,,1780166671.652687,,0.0,,10032.0,,,,,,0.593633398,,,,Dueling DDQN
51,,,,,1780166671.6527274,,,,10032.0,,,,,0.0,0.593633398,,,,Dueling DDQN
53,,,,"{'_type': 'histogram', 'values': [1], 'bins': [0, 1e-12]}",1780166671.653917,,,,10032.0,,,,,,0.593633398,,,,Dueling DDQN
56,,,,,1780166671.6540134,,,,10032.0,,,,,,0.593633398,,0.99445456,,Dueling DDQN
58,,,,,1780166671.654042,,,,10032.0,,,,,,0.593633398,,,837.0,Dueling DDQN
62,,,,,1780166673.7385294,,,2.0,11838.0,,,,,,0.593633398,,,,Dueling DDQN
63,,,,"{'_type': 'histogram', 'values': [1], 'bins': [0, 1e-12]}",1780166673.7397041,,,,11838.0,,,,,,0.593633398,,,,Dueling DDQN
66,,,,,1780166673.7398117,,,,11838.0,,,,,,0.593633398,,0.99345624,,Dueling DDQN
71,,,,,1780166675.7090635,,,,13530.0,,,,,0.0,0.593633398,,,,Dueling DDQN
74,,,,,1780166675.7101877,422.8125,,,13530.0,,,,,,0.593633398,,,,Dueling DDQN
76,,,,,1780166675.7102277,,,,13530.0,,,,,,0.593633398,,0.9925209,,Dueling DDQN
91,,,,,1780166679.389166,,,,16696.0,,,,,0.0,0.593633398,,,,Dueling DDQN
93,,,,"{'_type': 'histogram', 'values': [1], 'bins': [0, 1e-12]}",1780166679.390131,,,,16696.0,,,,,,0.593633398,,,,Dueling DDQN
100,,,,,1780166681.1692102,,0.0,,18224.0,,,,,,0.593633398,,,,Dueling DDQN
102,,,,,1780166681.1692781,,,4.0,18224.0,,,,,,0.593633398,,,,Dueling DDQN
105,,,,,1780166681.1703198,,,,18224.0,,,,14.818182,,0.593633398,,,,Dueling DDQN
108,,,,,1780166681.170364,,,,18224.0,,,,,,0.593633398,,,847.0,Dueling DDQN
117,,,,,1780166683.009005,,,,19804.0,,,47.0,,,0.593633398,,,,Dueling DDQN
123,,,,"{'_type': 'histogram', 'values': [1], 'bins': [0, 1e-12]}",1780166684.9751909,,,,21502.0,,,,,,0.593633398,,,,Dueling DDQN
125,,,,,1780166684.9752753,,,,21502.0,,,,15.153846,,0.593633398,,,,Dueling DDQN
136,,,,,1780166689.0746353,,,,25148.0,,,,,,0.593633398,,0.98609877,,Dueling DDQN
142,,,,,1780166690.9956996,,,2.0,26802.0,,,,,,0.593633398,,,,Dueling DDQN
143,,,,"{'bins': [0, 1e-12], '_type': 'histogram', 'values': [1]}",1780166690.996798,,,,26802.0,,,,,,0.593633398,,,,Dueling DDQN
145,,,,,1780166690.9968743,,,,26802.0,,,,16.383333,,0.593633398,,,,Dueling DDQN
146,,,,,1780166690.996889,,,,26802.0,,,,,,0.593633398,,0.98518443,,Dueling DDQN
148,,,,,1780166690.9969184,,,,26802.0,,,,,,0.593633398,,,855.0,Dueling DDQN
