time/fps,per/beta,_timestamp,rollout/ep_rew_mean,locals/num_collected_steps,global_step,trajectory/video,rollout/ep_len_mean,rollout/exploration_rate,_step,per/max_priority,train/loss,train/n_updates,locals/infos_0_lives,locals/rewards,eval/mean_ep_length,_runtime,time/_episode_num,locals/num_collected_episodes,eval/mean_reward,train/learning_rate,run
,,1780098441.6621327,,,1756.0,,,,0,,,,0.0,,,0.571954368,,,,,Dueling DDQN+PER
,,1780098441.6641045,,,1756.0,,439.0,,4,,,,,,,0.571954368,,,,,Dueling DDQN+PER
,,1780098441.6642153,,,1756.0,,,,9,,,0.0,,,,0.571954368,,,,,Dueling DDQN+PER
,,1780098443.4646974,,,3278.0,,,,11,,,,,,,0.571954368,,0.0,,,Dueling DDQN+PER
,,1780098443.4659252,,,3278.0,,,0.998188,16,,,,,,,0.571954368,,,,,Dueling DDQN+PER
794.0,,1780098443.4659543,,,3278.0,,,,18,,,,,,,0.571954368,,,,,Dueling DDQN+PER
,,1780098443.465969,,,3278.0,,,,19,,,0.0,,,,0.571954368,,,,,Dueling DDQN+PER
,,1780098445.203784,,,4778.0,,,,21,,,,,,,0.571954368,,0.0,,,Dueling DDQN+PER
,,1780098447.3292007,,,6616.0,,413.5,,34,,,,,,,0.571954368,,,,,Dueling DDQN+PER
,,1780098447.3292196,13.9375,,6616.0,,,,35,,,,,,,0.571954368,,,,,Dueling DDQN+PER
,,1780098449.2150574,,,8240.0,,412.0,,44,,,,,,,0.571954368,,,,,Dueling DDQN+PER
,,1780098449.2150924,,,8240.0,,,0.99544513,46,,,,,,,0.571954368,,,,,Dueling DDQN+PER
834.0,,1780098449.2151496,,,8240.0,,,,48,,,,,,,0.571954368,,,,,Dueling DDQN+PER
,,1780098451.276659,,,10032.0,,,,50,,,,0.0,,,0.571954368,,,,,Dueling DDQN+PER
,,1780098451.2766984,,,10032.0,,,,51,,,,,,,0.571954368,,0.0,,,Dueling DDQN+PER
,,1780098451.2780812,,,10032.0,,,0.99445456,56,,,,,,,0.571954368,,,,,Dueling DDQN+PER
840.0,,1780098451.2781491,,,10032.0,,,,58,,,,,,,0.571954368,,,,,Dueling DDQN+PER
,,1780098453.3657722,,2.0,11838.0,,,,62,,,,,,,0.571954368,,,,,Dueling DDQN+PER
,,1780098453.3667388,,,11838.0,,,0.99345624,66,,,,,,,0.571954368,,,,,Dueling DDQN+PER
,,1780098455.3522155,,,13530.0,,,,71,,,,,,,0.571954368,,0.0,,,Dueling DDQN+PER
,,1780098455.3529372,,,13530.0,,422.8125,,74,,,,,,,0.571954368,,,,,Dueling DDQN+PER
,,1780098455.3529706,,,13530.0,,,0.9925209,76,,,,,,,0.571954368,,,,,Dueling DDQN+PER
,,1780098459.057284,,,16696.0,,,,91,,,,,,,0.571954368,,0.0,,,Dueling DDQN+PER
,,1780098459.058155,,,16696.0,,,,93,,,,,"{'_type': 'histogram', 'values': [1], 'bins': [0, 1e-12]}",,0.571954368,,,,,Dueling DDQN+PER
,,1780098460.8374267,14.818182,,18224.0,,,,105,,,,,,,0.571954368,,,,,Dueling DDQN+PER
847.0,,1780098460.8374689,,,18224.0,,,,108,,,,,,,0.571954368,,,,,Dueling DDQN+PER
,,1780098462.6887732,,,19804.0,,,,117,,,,,,,0.571954368,47.0,,,,Dueling DDQN+PER
,,1780098464.6632092,,,21502.0,,,,123,,,,,"{'_type': 'histogram', 'values': [1], 'bins': [0, 1e-12]}",,0.571954368,,,,,Dueling DDQN+PER
,,1780098464.663302,15.153846,,21502.0,,,,125,,,,,,,0.571954368,,,,,Dueling DDQN+PER
,,1780098468.770837,,,25148.0,,,0.98609877,136,,,,,,,0.571954368,,,,,Dueling DDQN+PER
,,1780098470.6919076,,2.0,26802.0,,,,142,,,,,,,0.571954368,,,,,Dueling DDQN+PER
,,1780098470.6926894,,,26802.0,,,,143,,,,,"{'_type': 'histogram', 'values': [1], 'bins': [0, 1e-12]}",,0.571954368,,,,,Dueling DDQN+PER
,,1780098470.6927826,16.383333,,26802.0,,,,145,,,,,,,0.571954368,,,,,Dueling DDQN+PER
854.0,,1780098470.6928253,,,26802.0,,,,148,,,,,,,0.571954368,,,,,Dueling DDQN+PER
,,1780098472.6613622,,,28506.0,,,,150,,,,0.0,,,0.571954368,,,,,Dueling DDQN+PER
,,1780098472.6625273,,,28506.0,,,,159,,,0.0,,,,0.571954368,,,,,Dueling DDQN+PER
,,1780098474.7551436,,,30316.0,,,,167,,,,,,,0.571954368,67.0,,,,Dueling DDQN+PER
,,1780098476.4696445,,,31792.0,,,,170,,,,0.0,,,0.571954368,,,,,Dueling DDQN+PER
,,1780098476.4697168,,4.0,31792.0,,,,172,,,,,,,0.571954368,,,,,Dueling DDQN+PER
,,1780098476.471021,,,31792.0,,,,173,,,,,"{'_type': 'histogram', 'values': [1], 'bins': [0, 1e-12]}",,0.571954368,,,,,Dueling DDQN+PER
,,1780098481.1897383,,,35882.0,,448.525,,194,,,,,,,0.571954368,,,,,Dueling DDQN+PER
,,1780098484.7930176,,,38982.0,,,,211,,,,,,,0.571954368,,0.0,,,Dueling DDQN+PER
,,1780098486.7513363,,2.0,40666.0,,,,222,,,,,,,0.571954368,,,,,Dueling DDQN+PER
,,1780098486.7522101,,,40666.0,,442.02173,,224,,,,,,,0.571954368,,,,,Dueling DDQN+PER
,,1780098486.7522547,,,40666.0,,,0.97752076,226,,,,,,,0.571954368,,,,,Dueling DDQN+PER
,,1780098486.7522695,,,40666.0,,,,227,,,,,,,0.571954368,91.0,,,,Dueling DDQN+PER
,,1780098488.7574558,,,42402.0,,,,233,,,,,"{'_type': 'histogram', 'values': [1], 'bins': [0, 1e-12]}",,0.571954368,,,,,Dueling DDQN+PER
